name, duty
B0011+47,0.05078125
B0031-07,0.0625
B0037+56,0.0078125
B0045+33,0.01953125
B0052+51,0.0078125
B0053+47,0.03515625
B0059+65,0.01953125
B0105+65,0.01171875
B0105+68,0.0234375
B0114+58,0.03125
B0136+57,0.015625
B0138+59,0.03125
B0144+59,0.0390625
B0148-06,0.03125
B0149-16,0.0234375
B0153+39,0.0625
B0154+61,0.01953125
B0226+70,0.01953125
B0301+19,0.0234375
B0320+39,0.015625
B0329+54,0.0087890625
B0331+45,0.01953125
B0339+53,0.01953125
B0353+52,0.03125
B0355+54,0.0234375
B0402+61,0.0390625
B0410+69,0.01171875
B0447-12,0.05078125
B0450+55,0.02734375
B0450-18,0.05078125
B0458+46,0.03125
B0523+11,0.04296875
B0525+21,0.01953125
B0531+21,0.01953125
B0540+23,0.0234375
B0559-05,0.0390625
B0609+37,0.01953125
B0621-04,0.015625
B0626+24,0.01953125
B0643+80,0.0078125
B0655+64,0.03125
B0656+14,0.0546875
B0727-18,0.0078125
B0740-28,0.02734375
B0751+32,0.0078125
B0756-15,0.01171875
B0809+74,0.0234375
B0818-13,0.01953125
B0820+02,0.0234375
B0823+26,0.0078125
B0834+06,0.01953125
B0841+80,0.0234375
B0906-17,0.0234375
B0917+63,0.01171875
B0919+06,0.01953125
B0940+16,0.0703125
B0942-13,0.01171875
B0943+10,0.02734375
B0950+08,0.0390625
B1112+50,0.015625
B1133+16,0.015625
B1237+25,0.0234375
B1254-10,0.0078125
B1257+12,0.1171875
B1309-12,0.015625
B1322+83,0.03515625
B1508+55,0.021484375
B1530+27,0.01953125
B1534+12,0.01953125
B1540-06,0.01171875
B1541+09,0.07421875
B1604-00,0.03515625
B1607-13,0.05078125
B1612+07,0.01171875
B1620-09,0.01171875
B1633+24,0.03125
B1639+36A,0.1171875
B1642-03,0.0078125
B1648-17,0.01953125
B1700-18,0.01953125
B1702-19,0.02734375
B1706-16,0.01953125
B1709-15,0.015625
B1717-16,0.01171875
B1718-02,0.125
B1726-00,0.04296875
B1732-02,0.03125
B1732-07,0.01171875
B1737+13,0.03125
B1738-08,0.03515625
B1740-03,0.03125
B1740-13,0.03125
B1745-12,0.03125
B1753+52,0.0078125
B1758-03,0.015625
B1802+03,0.01171875
B1804-08,0.01953125
B1804-12,0.0703125
B1810+02,0.01953125
B1811+40,0.0234375
B1818-04,0.015625
B1821+05,0.015625
B1821-19,0.01953125
B1822-09,0.015625
B1826-17,0.046875
B1831-00,0.09375
B1834-06,0.08203125
B1834-10,0.046875
B1838-04,0.0703125
B1839+09,0.01953125
B1844-04,0.03515625
B1845-01,0.0390625
B1846-06,0.01171875
B1848+04,0.27734375
