PSR S/N sigma(S/N) integration_time normalised_snr RA Dec
B0329+54 23681.0247531 12959.694735 1427.59493035 15352.306011528095 3 54
B0950+08 3676.90911619 3554.80216396 821.658681716 3142.0478626605445 9 8
B2016+28 2399.79671769 626.614251029 883.584113744 1977.5438882654971 20 28
B1933+16 2445.64827728 586.728571785 933.98 1960.202035193631 19 16
B1642-03 1625.05701285 737.4516893739999 824.04121466 1386.6592740544834 16 3
B2310+42 1731.84618198 503.526681794 966.183886463 1364.7561076349093 23 42
B1946+35 1785.67490366 339.555785162 1115.16135135 1309.8126046429416 19 35
B2154+40 1122.76181585 337.44240431099996 443.02831168800003 1306.6146374475884 21 40
B2217+47 1870.03926848 623.484487406 1242.64746479 1299.4284838683013 22 47
B2021+51 1741.0664680999998 607.9963584340001 1189.65584568 1236.4606654817069 20 51
B1133+16 1413.8946613 751.9052748439999 854.1264 1185.0361722734226 11 16
B0823+26 1288.800725 824.965222535 923.8954472360001 1038.6039821563588 8 26
B1508+55 1557.88869283 715.477578334 1465.36333333 996.8719827332959 15 55
B1929+10 1179.33471583 831.766196219 911.80047619 956.6714221031241 19 10
B2111+46 1190.84423543 335.087372393 1234.26294118 830.2841342635177 21 46
B1919+21 547.270568848 0.0 273.99 809.8607703648322 19 21
J2139+2242 554.533142581 212.88896548099999 301.990769231 781.6391406701823 21 22
B2020+28 903.7375677269999 551.013391849 943.1852623760001 720.8077676629136 20 28
B0809+74 1552.44400939 1953.02901887 3112.21 681.6432274710223 8 74
B0355+54 998.218450092 338.617177196 1422.96233645 648.1932666060466 3 54
B1937+21 659.870607746 295.189995263 899.7899037210001 538.844992821324 19 21
B1911-04 348.17559283699995 105.472843708 250.766086957 538.566762292641 19 4
B0136+57 861.5828155519999 163.55117318 1583.25366667 530.3925340977927 1 57
B2255+58 865.420351809 268.498763875 1680.52986577 517.1060415560888 22 58
B0626+24 630.634277344 0.0 913.9889999999999 510.9550705460047 6 24
B0834+06 554.535643361 209.106496555 823.123413265 473.4483569824724 8 6
B2319+60 705.38814504 304.348137361 1576.39902737 435.1817783630185 23 60
B0540+23 513.241954703 217.788271805 884.6235433730001 422.6866474201364 5 23
B0320+39 477.79668579099996 99.7592075039 787.388 417.0847993583855 3 39
B0450+55 647.276724199 256.966986909 1479.18643275 412.24382403724445 4 55
J2043+2740 276.467679977 80.9633998977 289.7734375 397.8237500531009 20 27
B1237+25 477.707063198 364.62141044199996 907.752801653 388.376987590251 12 25
B1818-04 445.67699951199995 66.38312020000001 814.54828 382.50527727113536 18 4
B0138+59 628.967190369 142.93427351 1675.92304348 376.33670690812073 1 59
B2306+55 329.891337675 89.8251411386 490.749411765 364.7679255003586 23 55
B2303+30 360.88048854 90.1671877599 646.436353535 347.67714386698526 23 30
B0301+19 410.12819558800004 147.89931389 865.9282388889999 341.3927556329911 3 19
B0919+06 385.783034302 153.34289412799998 819.776491667 330.04337517885665 9 6
B0531+21 373.471819951 120.58869352100001 871.991051282 309.7971721515575 5 21
J2215+1538 200.148854144 87.49640139110001 261.697142857 303.06043531911126 22 15
B1604-00 351.980477398 203.17329871799998 831.8939999999999 298.9236008835291 16 0
B1839+09 186.161437988 0.0 253.99 286.12581393829254 18 9
B2110+27 292.874696847 104.924521253 640.072208054 283.5587100369712 21 27
B2053+36 378.15191570699994 71.6432678465 1084.1404918 281.3190534057916 20 36
B2148+63 510.914827421 114.66377138799999 2047.6661039 276.56330801974826 21 63
B2315+21 211.85320772400001 68.8952048543 353.782357143 275.89420835825666 23 21
B1905+39 382.44301532599997 114.129880429 1186.75261905 271.9332163616654 19 39
B1907+10 174.465995789 0.6347732544 255.48 267.3670997131764 19 10
J2302+6028 387.96520208699997 90.47702977520001 1286.03273504 264.99787263585887 23 60
B2324+60 456.041121231 127.954683933 1820.80482759 261.78691296513824 23 60
B1915+13 168.78746032700002 11.905197143499999 258.98 256.91099463350525 19 13
B1944+17 168.650550842 33.941932678200004 265.99 253.29740146996343 19 17
B2002+31 316.623250225 92.6998761793 1060.65666667 238.13926831154046 20 31
B1737+13 272.82385253900003 0.0 857.99 228.14809636332654 17 13
B1541+09 250.78805055700002 74.7275072852 831.398272727 213.04821791757604 15 9
B2053+21 203.128841678 95.7363224994 584.014942623 205.88999242506557 20 21
B2106+44 290.008024977 67.510279955 1212.25552486 204.0274280006424 21 44
B0402+61 326.626135367 61.0977488434 1751.24857143 191.18449161845925 4 61
B2022+50 159.97981686100002 36.9248535503 428.805555556 189.23898882523952 20 50
B0458+46 255.26352557299998 75.5057175821 1204.10882798 180.1903455663064 4 46
J1518+4904 259.293377935 197.60056324 1263.2776087000002 178.6971604456256 15 49
B2000+40 243.80332850000002 52.1944462894 1117.09621905 178.67754007266916 20 40
B1530+27 216.477701004 112.40472990299999 937.717649007 173.16206140931405 15 27
B0820+02 189.75936209900001 74.03494788350001 821.820942105 162.14002473658843 8 2
B2027+37 120.438877869 27.116833700500003 331.507428571 162.0300975108396 20 37
J2319+6411 253.428710389 50.8548558263 1496.83876106 160.4515542706596 23 64
B0818-13 181.140291864 67.644528941 845.692179894 152.5754048527906 8 13
B0353+52 220.316253346 48.5552804063 1372.33292035 145.67748054897478 3 52
B1900+01 169.38785265200002 72.36896255810001 894.552280702 138.72509279664047 19 1
B2224+65 267.450939894 80.104933379 2257.42890625 137.88363138458328 22 65
B2043-04 88.3254699707 5.473403930700001 250.49 136.69932993241875 20 4
J0538+2817 125.43266928799999 46.179404663199996 524.030289474 134.21717527453947 5 28
J0517+2212 112.652074749 62.2931070473 423.103551402 134.15024943520268 5 22
B0523+11 158.616719698 23.647426866900002 848.2536842110001 133.40180689279111 5 11
B1952+29 93.3357542924 54.0189276379 295.767857143 132.937705727687 19 29
B1112+50 195.501834342 98.14817267469999 1302.35646409 132.69712904727842 11 50
B0655+64 236.73678420599998 224.35259206400002 1909.97481283 132.68674765714417 6 64
J1913+3732 160.371578217 15.7612034005 922.9875 129.30196312421728 19 37
B2148+52 186.400538312 32.599812434099995 1437.15557576 120.44004118277213 21 52
J1022+1001 127.762072015 92.0378310233 693.097424908 118.87223520743477 10 10
